States,District_name,Total Reg Users,ID_2
Tripura,North tripura,1100640,490
Tripura,Dhalai,877140,489
Tripura,Khowai,694304,
Tripura,Unakoti,600365,
Uttar Pradesh,Gautam buddha nagar,55784216,519
Uttar Pradesh,Lucknow,46129222,538
Uttar Pradesh,Ghaziabad,44885390,520
Uttar Pradesh,Prayagraj,29270933,495
Uttar Pradesh,Kanpur nagar,27925907,533
Uttar Pradesh,Varanasi,27489311,562
Uttar Pradesh,Agra,24431031,493
Uttar Pradesh,Gorakhpur,19786391,523
Uttar Pradesh,Meerut,18534492,544
Uttar Pradesh,Bareilly,16756107,506
Uttarakhand,Dehradun,20981102,567
Uttarakhand,Haridwar,14690746,568
Uttarakhand,Udham singh nagar,12627809,574
Uttarakhand,Nainital,6759198,569
Uttarakhand,Pauri garhwal,3359913,570
Uttarakhand,Tehri garhwal,2545642,573
Uttarakhand,Almora,2181681,563
Uttarakhand,Pithoragarh,1804705,571
Uttarakhand,Chamoli,1568242,565
Uttarakhand,Uttarkashi,1260729,575
West Bengal,North twenty four parganas,62638095,590
West Bengal,Kolkata,45771491,586
West Bengal,Murshidabad,29389519,588
West Bengal,Hooghly,26336882,583
West Bengal,South twenty four parganas,29918288,592
West Bengal,Paschim bardhaman,5327200,577
West Bengal,Howrah,23531229,582
West Bengal,Nadia,22525496,589
West Bengal,Purba medinipur,22331419,581
West Bengal,Paschim medinipur,20270006,594
West Bengal,Purba bardhaman,13515936,
,,,
